iter	Passed	Remaining
477	918	618
478	920	616
479	921	614
480	923	612
481	925	610
482	926	608
483	928	606
484	929	603
485	931	601
486	933	599
487	934	597
488	936	595
489	937	593
490	939	591
491	940	589
492	942	586
493	944	584
494	945	582
495	947	580
496	949	578
497	950	576
498	952	574
499	953	572
500	955	570
501	957	568
502	958	566
503	960	564
504	962	562
505	963	559
506	965	557
507	966	555
508	968	553
509	970	551
510	971	549
511	973	547
512	975	545
513	977	543
514	979	541
515	980	539
516	982	537
517	983	535
518	985	533
519	987	531
520	988	529
521	990	527
522	991	525
523	993	523
524	994	521
525	996	519
526	998	517
527	999	514
528	1000	512
529	1002	510
530	1003	508
531	1005	506
532	1007	504
533	1010	503
534	1012	501
535	1015	499
536	1016	497
537	1018	495
538	1020	493
539	1021	491
540	1023	489
541	1025	487
542	1026	485
543	1028	483
544	1029	481
545	1031	479
546	1032	477
547	1034	475
548	1036	473
549	1037	471
550	1039	469
551	1041	467
552	1042	465
553	1044	463
554	1045	461
555	1047	459
556	1049	457
557	1051	455
558	1052	453
559	1054	451
560	1055	449
561	1057	447
562	1059	445
563	1060	443
564	1062	441
565	1063	439
566	1065	437
567	1067	435
568	1068	433
569	1070	431
570	1071	429
571	1073	427
572	1075	425
573	1078	424
574	1080	422
575	1081	420
576	1083	418
577	1084	416
578	1086	414
579	1087	412
580	1089	410
581	1091	408
582	1093	406
583	1095	405
584	1096	403
585	1098	401
586	1100	399
587	1101	397
588	1103	395
589	1105	393
590	1107	391
591	1109	389
592	1111	387
593	1113	386
594	1114	384
595	1116	382
596	1118	380
597	1120	378
598	1122	376
599	1124	374
600	1126	372
601	1128	371
602	1129	369
603	1131	367
604	1132	365
605	1134	363
606	1136	361
607	1137	359
608	1139	357
609	1141	355
610	1142	353
611	1144	351
612	1145	349
613	1147	347
614	1149	345
615	1150	343
616	1152	341
617	1153	339
618	1155	337
619	1157	335
620	1158	333
621	1160	332
622	1161	330
623	1163	328
624	1165	326
625	1166	324
626	1168	322
627	1169	320
628	1171	318
629	1172	316
630	1174	314
631	1176	312
632	1177	310
633	1179	308
634	1180	306
635	1182	304
636	1184	303
637	1185	301
638	1187	299
639	1188	297
640	1190	295
641	1192	293
642	1193	291
643	1195	289
644	1196	287
645	1198	285
646	1199	283
647	1201	281
648	1203	279
649	1204	277
650	1206	276
651	1207	274
652	1209	272
653	1210	270
654	1212	268
655	1214	266
656	1215	264
657	1217	262
658	1218	260
659	1220	258
660	1222	257
661	1223	255
662	1225	253
663	1227	251
664	1228	249
665	1230	247
666	1231	245
667	1233	243
668	1235	241
669	1236	239
670	1238	238
671	1239	236
672	1241	234
673	1242	232
674	1244	230
675	1246	228
676	1247	226
677	1249	224
678	1250	222
679	1252	221
680	1254	219
681	1255	217
682	1257	215
683	1258	213
684	1260	211
685	1262	209
686	1263	207
687	1265	205
688	1266	204
689	1268	202
690	1269	200
691	1271	198
692	1273	196
693	1274	194
694	1276	192
695	1277	190
696	1280	189
697	1282	187
698	1283	185
699	1285	183
700	1286	181
701	1288	179
702	1289	177
703	1291	176
704	1293	174
705	1294	172
706	1296	170
707	1297	168
708	1299	166
709	1300	164
710	1302	163
711	1304	161
712	1305	159
713	1307	157
714	1308	155
715	1310	153
716	1311	151
717	1313	150
